model,phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,step,plot_epoch
VGG16+Inception+ViT_v4,S1_head,1,0.7496,0.522,0.6171,0.658,0.121,1,1
VGG16+Inception+ViT_v4,S1_head,2,0.5911,0.668,0.6335,0.662,0.127,2,2
VGG16+Inception+ViT_v4,S1_head,3,0.5679,0.673,0.6311,0.652,0.128,3,3
VGG16+Inception+ViT_v4,S1_head,4,0.5619,0.671,0.6322,0.652,0.13,4,4
VGG16+Inception+ViT_v4,S1_head,5,0.5576,0.682,0.6254,0.645,0.129,5,5
VGG16+Inception+ViT_v4,S2_vit,1,0.5129,0.708,0.5943,0.672,0.13,6,6
VGG16+Inception+ViT_v4,S2_vit,2,0.4481,0.74,0.6105,0.67,0.115,7,7
VGG16+Inception+ViT_v4,S2_vit,3,0.4157,0.742,0.6206,0.67,0.124,8,8
VGG16+Inception+ViT_v4,S2_vit,4,0.3956,0.758,0.5457,0.68,0.162,9,9
VGG16+Inception+ViT_v4,S2_vit,5,0.3895,0.757,0.5527,0.676,0.161,10,10
VGG16+Inception+ViT_v4,S2_vit,6,0.3793,0.761,0.5809,0.673,0.142,11,11
VGG16+Inception+ViT_v4,S2_vit,7,0.3651,0.772,0.5542,0.674,0.143,12,12
VGG16+Inception+ViT_v4,S2_vit,8,0.3575,0.777,0.5482,0.676,0.164,13,13
VGG16+Inception+ViT_v4,S2_vit,9,0.3549,0.777,0.5054,0.684,0.194,14,14
VGG16+Inception+ViT_v4,S2_vit,10,0.3529,0.777,0.5331,0.68,0.174,15,15
VGG16+Inception+ViT_v4,S3_midcnn,1,0.3527,0.776,0.6046,0.674,0.146,16,16
VGG16+Inception+ViT_v4,S3_midcnn,2,0.3127,0.799,0.5466,0.674,0.156,17,17
VGG16+Inception+ViT_v4,S3_midcnn,3,0.2586,0.827,0.4214,0.728,0.364,18,18
VGG16+Inception+ViT_v4,S3_midcnn,4,0.2274,0.844,0.314,0.778,0.506,19,19
VGG16+Inception+ViT_v4,S3_midcnn,5,0.1929,0.863,0.2955,0.794,0.58,20,20
VGG16+Inception+ViT_v4,S3_midcnn,6,0.1721,0.883,0.3036,0.8,0.595,21,21
VGG16+Inception+ViT_v4,S3_midcnn,7,0.1532,0.894,0.3136,0.804,0.614,22,22
VGG16+Inception+ViT_v4,S3_midcnn,8,0.1335,0.912,0.2869,0.815,0.653,23,23
VGG16+Inception+ViT_v4,S3_midcnn,9,0.1261,0.915,0.2913,0.815,0.657,24,24
VGG16+Inception+ViT_v4,S3_midcnn,10,0.1229,0.92,0.2761,0.824,0.677,25,25
VGG16+Inception+ViT_v4,S4_full,1,0.1216,0.919,0.3163,0.8,0.625,26,26
VGG16+Inception+ViT_v4,S4_full,2,0.1269,0.914,0.3401,0.798,0.613,27,27
VGG16+Inception+ViT_v4,S4_full,3,0.1235,0.917,0.325,0.814,0.605,28,28
VGG16+Inception+ViT_v4,S4_full,4,0.1151,0.923,0.3011,0.822,0.68,29,29
VGG16+Inception+ViT_v4,S4_full,5,0.1081,0.926,0.2988,0.822,0.679,30,30
VGG16+Inception+ViT_v4,S4_full,6,0.1034,0.931,0.3133,0.826,0.685,31,31
VGG16+Inception+ViT_v4,S4_full,7,0.0975,0.937,0.3095,0.83,0.681,32,32
VGG16+Inception+ViT_v4,S4_full,8,0.0929,0.938,0.3076,0.826,0.669,33,33
VGG16+Inception+ViT_v4,S4_full,9,0.0838,0.943,0.305,0.831,0.688,34,34
VGG16+Inception+ViT_v4,S4_full,10,0.0779,0.949,0.3286,0.833,0.68,35,35
VGG16+Inception+ViT_v4,S4_full,11,0.0798,0.95,0.3029,0.838,0.7,36,36
VGG16+Inception+ViT_v4,S4_full,12,0.0737,0.954,0.3153,0.836,0.692,37,37
